Name, Height, Weight
Giannis Antetokounmpo, 83, 242
Luka Dončić, 79, 230
James Harden, 77, 220
Andre Drummond, 82, 279
Russell Westbrook, 75, 200
Álex Abrines, 78, 200
Quincy Acy, 79, 240
Jaylen Adams, 72, 225
Steven Adams, 83, 265
Bam Adebayo, 81, 255
Deng Adel, 79, 200
DeVaughn Akoon-Purcell, 78, 200
LaMarcus Aldridge, 83, 250
Rawle Alkins, 77, 225
Grayson Allen, 76, 198
Jarrett Allen, 83, 243
Kadeem Allen, 73, 200
Al-Farouq Aminu, 80, 220
Justin Anderson, 78, 230
Kyle Anderson, 81, 230
Ryan Anderson, 81, 240
Ike Anigbogu, 82, 250
Kostas Antetokounmpo, 82, 200
Carmelo Anthony, 79, 238
OG Anunoby, 79, 232
Ryan Arcidiacono, 75, 195
Trevor Ariza, 80, 215
D.J. Augustin, 71, 183
Deandre Ayton, 83, 250
Dwayne Bacon, 78, 221
Marvin Bagley III, 83, 235
Ron Baker, 76, 220
Wade Baldwin, 76, 200
Lonzo Ball, 78, 190
Mo Bamba, 84, 231
J.J. Barea, 70, 180
Harrison Barnes, 80, 225
Will Barton, 78, 181
Keita Bates-Diop, 80, 229
Nicolas Batum, 80, 230
Jerryd Bayless, 75, 200
Aron Baynes, 82, 260
Kent Bazemore, 76, 195
Bradley Beal, 76, 207
Malik Beasley, 76, 187
Michael Beasley, 81, 235
Marco Belinelli, 77, 220
Jordan Bell, 80, 216
DeAndre' Bembry, 77, 210
Dragan Bender, 84, 225
Dairis Bertāns, 76, 200
Dāvis Bertāns, 82, 225
Patrick Beverley, 73, 180
Khem Birch, 81, 233
Bismack Biyombo, 80, 255
Nemanja Bjelica, 82, 234
Antonio Blakeney, 76, 192
Eric Bledsoe, 73, 214
Jaron Blossomgame, 80, 220
Bogdan Bogdanović, 78, 220
Bojan Bogdanović, 79, 226
Andrew Bogut, 84, 260
Jonah Bolden, 80, 220
Isaac Bonga, 80, 180
Devin Booker, 77, 206
Chris Boucher, 81, 200
Avery Bradley, 75, 180
Tony Bradley, 82, 248
Corey Brewer, 81, 186
Mikal Bridges, 78, 209
Miles Bridges, 78, 225
Isaiah Briscoe, 75, 215
Ryan Broekhoff, 78, 215
Malcolm Brogdon, 77, 229
Dillon Brooks, 79, 225
MarShon Brooks, 77, 200
Bruce Brown, 76, 202
Jaylen Brown, 78, 223
Lorenzo Brown, 77, 189
Sterling Brown, 77, 219
Troy Brown Jr., 78, 215
Jalen Brunson, 73, 190
Thomas Bryant, 82, 248
Reggie Bullock, 78, 205
Trey Burke, 72, 185
Alec Burks, 78, 214
Deonte Burton, 76, 240
Jimmy Butler, 79, 230
Bruno Caboclo, 81, 218
José Calderón, 75, 200
Kentavious Caldwell-Pope, 77, 204
Isaiah Canaan, 72, 201
Clint Capela, 82, 240
DeMarre Carroll, 78, 215
Jevon Carter, 73, 200
Vince Carter, 78, 220
Wendell Carter Jr., 82, 270
Michael Carter-Williams, 77, 190
Alex Caruso, 76, 186
Omri Casspi, 81, 225
Willie Cauley-Stein, 84, 240
Troy Caupain, 76, 210
Tyler Cavanaugh, 81, 238
Tyson Chandler, 84, 235
Wilson Chandler, 80, 235
Joe Chealey, 75, 190
Chris Chiozza, 71, 175
Marquese Chriss, 81, 240
Gary Clark, 78, 225
Ian Clark, 75, 175
Jordan Clarkson, 76, 194
John Collins, 81, 235
Zach Collins, 83, 250
Darren Collison, 72, 175
Bonzie Colson, 78, 224
Mike Conley, 73, 175
Pat Connaughton, 77, 209
Quinn Cook, 73, 180
DeMarcus Cousins, 82, 270
Robert Covington, 79, 209
Allen Crabbe, 77, 212
Torrey Craig, 79, 221
Jamal Crawford, 77, 185
Mitch Creek, 77, 216
Jae Crowder, 78, 235
Dante Cunningham, 80, 230
Seth Curry, 74, 185
Stephen Curry, 74, 185
Troy Daniels, 76, 200
Anthony Davis, 82, 253
Deyonta Davis, 83, 237
Ed Davis, 81, 218
Tyler Davis, 82, 266
Dewayne Dedmon, 84, 245
Sam Dekker, 81, 230
Ángel Delgado, 82, 245
Matthew Dellavedova, 75, 200
Luol Deng, 81, 237
DeMar DeRozan, 78, 220
Marcus Derrickson, 79, 249
Cheick Diallo, 80, 219
Hamidou Diallo, 77, 202
Gorgui Dieng, 82, 252
Spencer Dinwiddie, 77, 215
Donte DiVincenzo, 76, 203
Tyler Dorsey, 77, 183
Damyean Dotson, 77, 210
PJ Dozier, 78, 205
Goran Dragić, 75, 190
Jared Dudley, 78, 237
Kris Dunn, 75, 205
Kevin Durant, 82, 240
Trevon Duval, 74, 189
Vince Edwards, 80, 225
Henry Ellenson, 82, 240
Wayne Ellington, 76, 207
Joel Embiid, 84, 280
James Ennis III, 78, 215
Drew Eubanks, 81, 245
Jacob Evans, 76, 210
Jawun Evans, 72, 185
Tyreke Evans, 78, 220
Dante Exum, 77, 214
Kenneth Faried, 80, 220
Derrick Favors, 81, 265
Cristiano Felício, 83, 270
Raymond Felton, 73, 205
Terrance Ferguson, 78, 190
Yogi Ferrell, 72, 178
Dorian Finney-Smith, 79, 220
Bryn Forbes, 74, 205
Evan Fournier, 79, 205
De'Aaron Fox, 75, 185
Melvin Frazier, 77, 215
Tim Frazier, 72, 170
Jimmer Fredette, 74, 195
Enes Freedom, 82, 250
Channing Frye, 84, 255
Markelle Fultz, 75, 209
Danilo Gallinari, 82, 233
Langston Galloway, 73, 200
Billy Garrett, 78, 213
Marc Gasol, 83, 255
Pau Gasol, 84, 250
Rudy Gay, 80, 250
Paul George, 80, 220
Taj Gibson, 81, 232
Harry Giles, 83, 240
Shai Gilgeous-Alexander, 78, 180
Rudy Gobert, 85, 258
Brandon Goodwin, 72, 180
Aaron Gordon, 80, 235
Eric Gordon, 75, 215
Marcin Gortat, 83, 240
Devonte' Graham, 73, 195
Treveon Graham, 77, 219
Jerami Grant, 80, 210
Jerian Grant, 76, 205
Donte Grantham, 80, 215
Danny Green, 78, 215
Draymond Green, 78, 230
Gerald Green, 78, 205
JaMychal Green, 80, 227
Jeff Green, 80, 235
Blake Griffin, 81, 250
Daniel Hamilton, 79, 195
Dusty Hannahs, 75, 210
Tim Hardaway Jr., 77, 205
Maurice Harkless, 79, 220
Montrezl Harrell, 79, 240
Devin Harris, 75, 185
Gary Harris, 76, 210
Joe Harris, 78, 220
Tobias Harris, 80, 226
Andrew Harrison, 78, 213
